epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_sensitivity_pneumonia,val_specificity_normal,val_tn,val_fp,val_fn,val_tp,val_roc_auc,val_average_precision
1,0.32619256302747957,0.7205513784461153,0.9921671018276762,0.6333333333333333,0.7731434384537131,0.7046793864372971,0.6333333333333333,0.9848484848484849,195,3,220,380,0.9392340067340068,0.9792820974871432
2,0.24481506511925252,0.7167919799498746,0.9947089947089947,0.6266666666666667,0.7689161554192229,0.7016101812694819,0.6266666666666667,0.98989898989899,196,2,224,376,0.9677525252525252,0.9890078153592614
3,0.19391728030920136,0.9273182957393483,0.9261006289308176,0.9816666666666667,0.9530744336569579,0.8959816612729234,0.9816666666666667,0.7626262626262627,151,47,11,589,0.971043771043771,0.989438584488647
4,0.1720927355052331,0.9423558897243107,0.964765100671141,0.9583333333333334,0.9615384615384616,0.9232692307692307,0.9583333333333334,0.8939393939393939,177,21,25,575,0.9810353535353534,0.9935418321735326
5,0.1771527162148547,0.9473684210526315,0.9619205298013245,0.9683333333333334,0.9651162790697675,0.9289867109634552,0.9683333333333334,0.8838383838383839,175,23,19,581,0.9762626262626263,0.9908935837441487
6,0.16126899762657992,0.7944862155388471,0.997716894977169,0.7283333333333334,0.8420038535645472,0.7740485217643525,0.7283333333333334,0.9949494949494949,197,1,163,437,0.9857575757575757,0.9951216004489798
7,0.14772211565700372,0.8721804511278195,0.8547008547008547,1.0,0.9216589861751152,0.7873601053324555,1.0,0.48484848484848486,96,102,0,600,0.9895791245791246,0.9961429736019907
8,0.14491361685443366,0.5902255639097744,1.0,0.455,0.6254295532646048,0.5865736977941282,0.455,1.0,198,0,327,273,0.9824410774410774,0.9941981632384962
9,0.14880260409107604,0.9423558897243107,0.9526143790849673,0.9716666666666667,0.9620462046204621,0.9211272689768977,0.9716666666666667,0.8535353535353535,169,29,17,583,0.9819949494949495,0.9940324153229902
10,0.1295860385775136,0.9486215538847118,0.9500805152979066,0.9833333333333333,0.9664209664209664,0.9285438165438166,0.9833333333333333,0.8434343434343434,167,31,10,590,0.9897138047138048,0.996651931276916
