split,class_name,label,path,file_name,width,height,aspect_ratio,mean_intensity,std_intensity,min_intensity,max_intensity,mode
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0007-0001.jpeg,NORMAL2-IM-0007-0001.jpeg,2165,1907,1.1352910330361825,139.03175101818874,64.42863528724867,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0346-0001.jpeg,NORMAL2-IM-0346-0001.jpeg,1288,917,1.4045801526717556,111.9660865839864,71.86766240483816,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0313-0001.jpeg,NORMAL2-IM-0313-0001.jpeg,1620,1110,1.4594594594594594,122.4895217439662,61.257172699028295,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0011-0001.jpeg,IM-0011-0001.jpeg,1863,1785,1.0436974789915967,126.21031347590029,52.80370946140325,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0213-0001.jpeg,NORMAL2-IM-0213-0001.jpeg,1952,1600,1.22,159.4180199795082,56.9611968979564,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0132-0001.jpeg,NORMAL2-IM-0132-0001.jpeg,2115,1792,1.1802455357142858,148.40518801713947,63.00625674153054,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0333-0001.jpeg,NORMAL2-IM-0333-0001.jpeg,2226,1731,1.2859618717504333,120.35850224462435,62.53821791322212,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0092-0001.jpeg,NORMAL2-IM-0092-0001.jpeg,2143,1576,1.359771573604061,127.6081128855369,68.46993667160274,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0353-0001.jpeg,NORMAL2-IM-0353-0001.jpeg,1782,1434,1.2426778242677825,133.92041678210902,57.77764167880383,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0021-0001.jpeg,IM-0021-0001.jpeg,2624,1893,1.3861595351294242,151.46969136935823,44.30265954749183,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0370-0001.jpeg,NORMAL2-IM-0370-0001.jpeg,1742,1392,1.2514367816091954,115.72358655990604,61.275154166294094,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0089-0001.jpeg,IM-0089-0001.jpeg,2426,2076,1.1685934489402698,136.24069489648906,61.79989391761033,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0374-0001-0001.jpeg,NORMAL2-IM-0374-0001-0001.jpeg,1968,1484,1.326145552560647,123.64261540442224,58.768412408815976,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0039-0001.jpeg,IM-0039-0001.jpeg,2153,1793,1.2007808142777467,134.19872321763248,57.43596162837405,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0339-0001.jpeg,NORMAL2-IM-0339-0001.jpeg,1898,1403,1.3528153955808981,127.32805436491276,58.82832489546845,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0271-0001.jpeg,NORMAL2-IM-0271-0001.jpeg,1564,1010,1.5485148514851486,156.84798371780911,53.99419735339687,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0027-0001.jpeg,IM-0027-0001.jpeg,2271,1827,1.2430213464696223,142.97876463835559,53.717215840296376,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0141-0001.jpeg,NORMAL2-IM-0141-0001.jpeg,1712,1519,1.1270572745227123,111.24853606652188,63.40445110022276,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0372-0001.jpeg,NORMAL2-IM-0372-0001.jpeg,2198,1485,1.4801346801346802,124.16451533840069,63.25809927762311,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0033-0001-0001.jpeg,IM-0033-0001-0001.jpeg,2170,1953,1.1111111111111112,151.9030882418871,65.69946894676151,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0348-0001.jpeg,NORMAL2-IM-0348-0001.jpeg,1762,1249,1.410728582866293,117.30502949465134,61.39922486376983,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0013-0001.jpeg,IM-0013-0001.jpeg,2444,2155,1.134106728538283,136.0494400795926,56.19206223425225,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0096-0001.jpeg,NORMAL2-IM-0096-0001.jpeg,2517,1979,1.2718544719555331,130.27616974658227,67.36121426441812,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0256-0001.jpeg,NORMAL2-IM-0256-0001.jpeg,984,496,1.9838709677419355,113.86202219381065,58.240753949074865,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0364-0001.jpeg,NORMAL2-IM-0364-0001.jpeg,1472,921,1.5982627578718784,97.7157921446443,60.23011668178339,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0033-0001-0002.jpeg,IM-0033-0001-0002.jpeg,2024,1836,1.10239651416122,147.57815742678275,54.997358716076,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0060-0001.jpeg,NORMAL2-IM-0060-0001.jpeg,2323,1893,1.2271526677231908,105.64305656087555,63.187651636555536,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0317-0001.jpeg,NORMAL2-IM-0317-0001.jpeg,1624,1187,1.3681550126368998,106.38676642693216,61.98944526501718,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0058-0001.jpeg,NORMAL2-IM-0058-0001.jpeg,1683,1361,1.236590742101396,107.70916276915327,63.60646543462109,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0025-0001.jpeg,IM-0025-0001.jpeg,2720,2458,1.1065907241659887,133.16496254726462,66.3838535854069,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0267-0001.jpeg,NORMAL2-IM-0267-0001.jpeg,1560,1016,1.5354330708661417,151.5093352513628,64.90339585593658,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0109-0001.jpeg,IM-0109-0001.jpeg,1802,1110,1.6234234234234235,126.97111317755046,67.50027595396759,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0073-0001.jpeg,IM-0073-0001.jpeg,1322,650,2.0338461538461536,131.6697288490632,53.76695663657461,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0246-0001-0002.jpeg,NORMAL2-IM-0246-0001-0002.jpeg,1168,824,1.4174757281553398,112.99694835583189,51.88686785127,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0207-0001.jpeg,NORMAL2-IM-0207-0001.jpeg,1454,1079,1.3475440222428174,133.24694843281708,47.425652968372255,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0301-0001.jpeg,NORMAL2-IM-0301-0001.jpeg,1816,1157,1.5695764909248056,118.40681125042359,65.50588272621692,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0289-0001.jpeg,NORMAL2-IM-0289-0001.jpeg,1894,1597,1.1859737006887914,129.12866786259082,61.203510674943736,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0022-0001.jpeg,IM-0022-0001.jpeg,1300,617,2.106969205834684,86.48853384864731,33.04450387638784,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0280-0001.jpeg,NORMAL2-IM-0280-0001.jpeg,1460,1071,1.3632119514472456,126.62615210467749,60.08202077701997,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0310-0001.jpeg,NORMAL2-IM-0310-0001.jpeg,1646,1346,1.222882615156018,128.76953089032082,59.25965419919497,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0286-0001.jpeg,NORMAL2-IM-0286-0001.jpeg,1692,1214,1.3937397034596375,122.6761988775554,57.659583744568536,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0341-0001.jpeg,NORMAL2-IM-0341-0001.jpeg,1670,1319,1.2661106899166035,132.14290312475882,51.02484359581587,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0206-0001.jpeg,NORMAL2-IM-0206-0001.jpeg,1536,1064,1.443609022556391,115.6725645901864,68.26599865775641,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0099-0001.jpeg,IM-0099-0001.jpeg,1862,1326,1.4042232277526394,109.72550923203289,63.94058196402287,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0337-0001.jpeg,NORMAL2-IM-0337-0001.jpeg,1766,1349,1.3091178650852484,107.76753385545436,73.30734741984924,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0374-0001.jpeg,NORMAL2-IM-0374-0001.jpeg,2148,1600,1.3425,105.35729079376163,69.6343050627907,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0051-0001.jpeg,NORMAL2-IM-0051-0001.jpeg,2028,1742,1.164179104477612,101.16069317726343,69.10643459450033,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0173-0001-0001.jpeg,NORMAL2-IM-0173-0001-0001.jpeg,1304,952,1.3697478991596639,112.58636483734598,53.60131935708665,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0279-0001.jpeg,NORMAL2-IM-0279-0001.jpeg,1376,1040,1.323076923076923,118.82615789915027,56.55505153019456,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0272-0001.jpeg,NORMAL2-IM-0272-0001.jpeg,1340,917,1.4612868047982552,111.87294796464786,46.291616306469365,0,229,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0282-0001.jpeg,NORMAL2-IM-0282-0001.jpeg,2667,2280,1.1697368421052632,152.97405423006336,67.7212010432757,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0378-0001.jpeg,NORMAL2-IM-0378-0001.jpeg,1586,1048,1.5133587786259541,94.6335137847386,56.177774769893595,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0287-0001.jpeg,NORMAL2-IM-0287-0001.jpeg,1785,1585,1.1261829652996846,136.8196198605625,65.97163783115695,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0361-0001.jpeg,NORMAL2-IM-0361-0001.jpeg,1778,1337,1.3298429319371727,146.67570185925712,45.37548140915227,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0131-0001.jpeg,NORMAL2-IM-0131-0001.jpeg,1784,1389,1.2843772498200143,117.22626167485076,63.7063842876052,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0102-0001.jpeg,NORMAL2-IM-0102-0001.jpeg,2366,2152,1.0994423791821561,105.86535613728564,61.02821968433968,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0297-0001.jpeg,NORMAL2-IM-0297-0001.jpeg,1890,1334,1.416791604197901,112.0240566224824,70.09885674081613,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0023-0001.jpeg,NORMAL2-IM-0023-0001.jpeg,2071,1296,1.5979938271604939,105.9837378018611,62.20428060965829,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0061-0001.jpeg,IM-0061-0001.jpeg,1754,1318,1.330804248861912,138.3080822849312,72.86764239609904,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0120-0001.jpeg,NORMAL2-IM-0120-0001.jpeg,2093,1764,1.1865079365079365,111.66970752307931,62.06369599372899,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0303-0001.jpeg,NORMAL2-IM-0303-0001.jpeg,1504,948,1.5864978902953586,112.12483447796032,62.489284862082535,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0302-0001.jpeg,NORMAL2-IM-0302-0001.jpeg,1596,1087,1.468261269549218,107.75939676698647,62.67968801046902,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0139-0001.jpeg,NORMAL2-IM-0139-0001.jpeg,2014,1375,1.4647272727272727,126.34102121513045,67.8251302584985,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0366-0001.jpeg,NORMAL2-IM-0366-0001.jpeg,1298,747,1.7376171352074967,107.03659218280414,61.20961096793393,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0110-0001.jpeg,IM-0110-0001.jpeg,1542,871,1.7703788748564868,122.98193408890894,64.17704823040889,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0360-0001.jpeg,NORMAL2-IM-0360-0001.jpeg,1094,898,1.21826280623608,127.55728655594598,53.32837738643561,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0145-0001.jpeg,NORMAL2-IM-0145-0001.jpeg,1726,1505,1.146843853820598,141.74478428413593,65.43501473788932,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0111-0001.jpeg,IM-0111-0001.jpeg,1910,1303,1.4658480429777436,127.79660308671491,57.0059191512055,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0028-0001.jpeg,NORMAL2-IM-0028-0001.jpeg,2381,1965,1.2117048346055979,143.38715253175852,70.93063251102889,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0037-0001.jpeg,IM-0037-0001.jpeg,1741,1504,1.1575797872340425,140.2954659678346,49.404659192421214,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0146-0001.jpeg,NORMAL2-IM-0146-0001.jpeg,1827,1375,1.3287272727272728,115.12679384982833,69.13203736463542,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0210-0001.jpeg,NORMAL2-IM-0210-0001.jpeg,1680,984,1.7073170731707317,139.43147623886952,69.70668264280839,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0035-0001.jpeg,NORMAL2-IM-0035-0001.jpeg,1762,1224,1.4395424836601307,110.23478268530265,67.99111228353424,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0009-0001.jpeg,IM-0009-0001.jpeg,1852,1443,1.2834372834372834,143.67070455569376,49.14616043185226,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0091-0001.jpeg,IM-0091-0001.jpeg,1754,1036,1.693050193050193,119.52718166529455,60.38774215088284,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0196-0001.jpeg,NORMAL2-IM-0196-0001.jpeg,1720,1568,1.096938775510204,156.0679212891552,65.32850271666246,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0249-0001.jpeg,NORMAL2-IM-0249-0001.jpeg,1426,832,1.7139423076923077,86.36582796148451,56.30052650722303,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0276-0001.jpeg,NORMAL2-IM-0276-0001.jpeg,1604,1334,1.2023988005997002,128.86233675556238,55.30355957768152,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0107-0001.jpeg,IM-0107-0001.jpeg,1824,1125,1.6213333333333333,120.00323684210527,65.69184471631472,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0237-0001.jpeg,NORMAL2-IM-0237-0001.jpeg,1392,1168,1.1917808219178083,156.6780483634467,50.74974292450168,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0336-0001.jpeg,NORMAL2-IM-0336-0001.jpeg,1612,941,1.7130712008501594,102.61716522995704,62.61515415394323,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0246-0001-0001.jpeg,NORMAL2-IM-0246-0001-0001.jpeg,1168,824,1.4174757281553398,112.99694835583189,51.88686785127,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0041-0001.jpeg,IM-0041-0001.jpeg,2022,2071,0.9763399323998069,107.90777044017497,53.796370877554864,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0016-0001.jpeg,IM-0016-0001.jpeg,2498,2057,1.2143898881866797,134.1332920492933,62.22160352677763,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0049-0001.jpeg,IM-0049-0001.jpeg,1762,1060,1.6622641509433962,120.63473968260767,59.13965985856793,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0036-0001.jpeg,IM-0036-0001.jpeg,2096,1709,1.2264482153306027,154.14201588804667,70.16179179079025,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0069-0001.jpeg,IM-0069-0001.jpeg,1974,1226,1.6101141924959217,124.74504612160369,64.15553172351392,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0098-0001.jpeg,NORMAL2-IM-0098-0001.jpeg,1266,1044,1.2126436781609196,98.62899030342649,71.58323638111507,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0195-0001.jpeg,NORMAL2-IM-0195-0001.jpeg,1432,1016,1.4094488188976377,141.2073568710685,59.743502201761345,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\NORMAL2-IM-0349-0001.jpeg,NORMAL2-IM-0349-0001.jpeg,1214,662,1.8338368580060422,130.9476114514949,54.27674097956765,0,255,L
test,NORMAL,0,data\raw\chest_xray\test\NORMAL\IM-0084-0001.jpeg,IM-0084-0001.jpeg,1754,1187,1.4776748104465038,129.79082832932596,64.3737324627854,0,255,L
